round,date,home_team,away_team,home_score,away_score,venue
Round 1,2026-02-12,York Knights,Hull Kingston Rovers,19,18,LNER Community Stadium
Round 1,2026-02-13,Catalans Dragons,Huddersfield Giants,26,10,Stade Gilbert Brutus
Round 1,2026-02-13,Leigh Leopards,Leeds Rhinos,26,14,Progress with Unity Stadium
Round 1,2026-02-13,Warrington Wolves,St Helens,24,14,Halliwell Jones Stadium
Round 1,2026-02-14,Hull FC,Bradford Bulls,27,20,MKM Stadium
Round 1,2026-02-14,Wakefield Trinity,Toulouse Olympique,16,18,DIY Kitchens Stadium
Round 1,2026-02-15,Castleford Tigers,Wigan Warriors,16,26,OneBore Stadium
Round 2,2026-02-20,Bradford Bulls,Catalans Dragons,28,10,Bartercard Odsal Stadium
Round 2,2026-02-20,Leeds Rhinos,York Knights,46,14,AMT Headingley Stadium
Round 2,2026-02-20,St Helens,Leigh Leopards,20,18,Brewdog Stadium
Round 2,2026-02-21,Toulouse Olympique,Castleford Tigers,24,12,Stade Ernest Wallon
Round 2,2026-02-21,Wigan Warriors,Hull FC,34,6,The Brick Community Stadium
Round 2,2026-02-22,Huddersfield Giants,Wakefield Trinity,16,18,Accu Stadium
Round 3,2026-02-26,Wigan Warriors,Leigh Leopards,54,0,The Brick Community Stadium
Round 3,2026-02-27,Castleford Tigers,Huddersfield Giants,34,8,OneBore Stadium
Round 3,2026-02-27,Hull FC,York Knights,16,17,MKM Stadium
Round 3,2026-02-28,Warrington Wolves,Wakefield Trinity,27,16,Halliwell Jones Stadium
Round 3,2026-02-28,Catalans Dragons,St Helens,4,36,Stade Gilbert Brutus
Round 3,2026-02-28,Hull Kingston Rovers,Leeds Rhinos,6,58,Allegiant Stadium
Round 3,2026-03-01,Bradford Bulls,Toulouse Olympique,18,6,Bartercard Odsal Stadium
Round 4,2026-03-05,Wakefield Trinity,Hull FC,14,10,DIY Kitchens Stadium
Round 4,2026-03-06,Leigh Leopards,Catalans Dragons,16,22,Progress with Unity Stadium
Round 4,2026-03-06,York Knights,Warrington Wolves,30,38,LNER Community Stadium
Round 4,2026-03-07,St Helens,Bradford Bulls,26,22,Brewdog Stadium
Round 4,2026-03-07,Toulouse Olympique,Wigan Warriors,16,36,Stade Ernest Wallon
Round 4,2026-03-08,Huddersfield Giants,Hull Kingston Rovers,6,32,Accu Stadium
Round 4,2026-03-08,Leeds Rhinos,Castleford Tigers,22,4,AMT Headingley Stadium
Round 4,2026-03-13,Wakefield Trinity,Leeds Rhinos,24,14,DIY Kitchens Stadium
Round 4,2026-03-13,Wigan Warriors,Bradford Bulls,30,6,The Brick Community Stadium
Round 4,2026-03-14,Huddersfield Giants,Hull Kingston Rovers,12,52,Accu Stadium
Round 4,2026-03-14,Leigh Leopards,Hull FC,16,6,Progress with Unity Stadium
Round 4,2026-03-14,Castleford Tigers,St Helens,8,32,OneBore Stadium
Round 5,2026-03-19,Wigan Warriors,York Knights,23,22,The Brick Community Stadium
Round 5,2026-03-20,Toulouse Olympique,St Helens,16,30,Stade Ernest Wallon
Round 5,2026-03-20,Bradford Bulls,Huddersfield Giants,26,14,Bartercard Odsal Stadium
Round 5,2026-03-20,Wakefield Trinity,Leigh Leopards,18,14,DIY Kitchens Stadium
Round 5,2026-03-21,Warrington Wolves,Castleford Tigers,72,6,Halliwell Jones Stadium
Round 5,2026-03-21,Catalans Dragons,Hull Kingston Rovers,26,20,Stade Gilbert Brutus
Round 5,2026-03-22,Hull FC,Leeds Rhinos,24,16,MKM Stadium
Round 6,2026-03-26,Castleford Tigers,Bradford Bulls,40,28,OneBore Stadium
Round 6,2026-03-27,Hull Kingston Rovers,St Helens,52,10,Sewell Group Craven Park
Round 6,2026-03-27,York Knights,Wakefield Trinity,14,26,LNER Community Stadium
Round 6,2026-03-28,Wigan Warriors,Huddersfield Giants,16,34,The Brick Community Stadium
Round 6,2026-03-28,Leigh Leopards,Toulouse Olympique,21,20,Progress with Unity Stadium
Round 6,2026-03-29,Hull FC,Catalans Dragons,24,20,MKM Stadium
Round 6,2026-03-29,Leeds Rhinos,Warrington Wolves,26,22,AMT Headingley Stadium
Round 7,2026-04-03,Hull Kingston Rovers,Hull FC,24,6,Sewell Group Craven Park
Round 7,2026-04-03,St Helens,Wigan Warriors,34,24,Brewdog Stadium
Round 7,2026-04-03,Bradford Bulls,Leeds Rhinos,12,24,Bartercard Odsal Stadium
Round 7,2026-04-04,Huddersfield Giants,York Knights,34,14,Accu Stadium
Round 7,2026-04-04,Warrington Wolves,Leigh Leopards,42,6,Halliwell Jones Stadium
Round 7,2026-04-04,Catalans Dragons,Toulouse Olympique,33,26,Stade Gilbert Brutus
Round 7,2026-04-05,Castleford Tigers,Wakefield Trinity,0,34,OneBore Stadium
Round 7,2026-04-10,St Helens,Catalans Dragons,36,4,Brewdog Stadium
Round 7,2026-04-11,Hull Kingston Rovers,York Knights,48,10,Sewell Group Craven Park
Round 7,2026-04-11,Warrington Wolves,Leigh Leopards,24,10,Halliwell Jones Stadium
Round 7,2026-04-12,Wakefield Trinity,Wigan Warriors,22,26,DIY Kitchens Stadium
Round 8,2026-04-16,Hull FC,St Helens,14,24,MKM Stadium
Round 8,2026-04-17,Toulouse Olympique,Hull Kingston Rovers,0,46,Stade Ernest Wallon
Round 8,2026-04-17,Huddersfield Giants,Leeds Rhinos,22,56,Accu Stadium
Round 8,2026-04-17,York Knights,Leigh Leopards,6,18,LNER Community Stadium
Round 8,2026-04-18,Wakefield Trinity,Bradford Bulls,52,12,DIY Kitchens Stadium
